EuphemismID,lang,topic,topicEnglish,EuphemismTerm,DirectTerm
E-00379,indonesia,Vaginitis,Vaginitis,ms.v,vagina
E-00380,indonesia,Vaginosis Bakterialis,Bacterial Vaginosis,organ intim,vagina
E-00381,indonesia,Vagina,Vagina,organ v,vagina
E-00382,indonesia,Endometriosis,Endometriosis,pd,payudara
E-00383,indonesia,Endometriosis,Endometriosis,pee,pipis
E-00384,indonesia,Menstruasi,Menstruation,pengaman,kondom
E-00385,indonesia,Prolaps Uterus,Uterine Prolapse,peranakan,rahim
E-00386,indonesia,Menstruasi,Menstruation,perawan,perawan
E-00387,indonesia,Kehamilan,Pregnancy,petting,seksual tanpa penetrasi
E-00388,indonesia,Hormon,Hormones / Hormonal Disorders,pil kb,kontrasepsi
E-00389,indonesia,Menstruasi,Menstruation,pms,menstruasi
E-00390,indonesia,Amenorrhea,Amenorrhea,pngaman,kontrasepsi
E-00391,indonesia,Endometriosis,Endometriosis,poop,berak
E-00392,indonesia,Endometriosis,Endometriosis,puting,pentil payudara
E-00393,indonesia,Menstruasi,Menstruation,satang bulan,menstruasi
E-00394,indonesia,Menstruasi,Menstruation,sc,sesar
E-00395,indonesia,Vaginitis,Vaginitis,sek,berhubungan seks
E-00396,indonesia,Menstruasi,Menstruation,sex,berhubungan seks
E-00397,indonesia,Endometriosis,Endometriosis,suntik kb,kontrasepsi
E-00398,indonesia,Kanker Payudara,Breast Cancer,susu,payudara
E-00399,indonesia,Menstruasi,Menstruation,tamu bulanan,menstruasi
E-00400,indonesia,Menstruasi,Menstruation,tanda keperawanan,selaput dara
E-00401,indonesia,Menstruasi,Menstruation,terlambat bulan,telat mens
E-00402,indonesia,Endometriosis,Endometriosis,tp,testpack
E-00403,indonesia,Vagina,Vagina,v,vagina
E-00404,jawa,Endometriosis,Endometriosis,abortus incomplete,meskram
E-00405,jawa,Kanker Payudara,Breast Cancer,abses,udun
E-00406,jawa,Menstruasi,Menstruation,aku angel ngising,bebelen
E-00407,jawa,Menstruasi,Menstruation,alat kb,kb
E-00408,jawa,Kehamilan,Pregnancy,alat kelamine,sempuk (P)
E-00409,jawa,Candidiasis,Candidiasis (Yeast Infection),alat reproduksiku,sempuk (P)
E-00410,jawa,Endometriosis,Endometriosis,anus,silit
E-00411,jawa,Endometriosis,Endometriosis,appendicitis,usus buntu
E-00412,jawa,Endometriosis,Endometriosis,appendoctomy,oprasi usus buntu
E-00413,jawa,Menstruasi,Menstruation,areola,bunderan pentil
E-00414,jawa,Endometriosis,Endometriosis,bercak,flek
E-00415,jawa,Endometriosis,Endometriosis,bercak getih,flek getih
E-00416,jawa,Radang Payudara,Breast Inflammation (Mastitis),berdenyut,nyut-nyutan
E-00417,jawa,Endometriosis,Endometriosis,bo,meteng kosong
E-00418,jawa,Menstruasi,Menstruation,buncit,njembling
E-00419,jawa,Hormon,Hormones / Hormonal Disorders,cairan,lendir
E-00420,jawa,Menstruasi,Menstruation,cairan abang rodok coklat,flek
E-00421,jawa,Endometriosis,Endometriosis,cairan coklat,lendir coklat
E-00422,jawa,Candidiasis,Candidiasis (Yeast Infection),cairan puteh,lendir puteh
E-00423,jawa,Menstruasi,Menstruation,cek kehamilan,tespek
E-00424,jawa,Vaginitis,Vaginitis,co,kenthu
E-00425,jawa,Vaginitis,Vaginitis,coklat coklat,flek
E-00426,jawa,Menstruasi,Menstruation,dawn effect,kencing manis
E-00427,jawa,Menstruasi,Menstruation,depresi,setres
E-00428,jawa,Kehamilan,Pregnancy,dibuahi,dikenthu
E-00429,jawa,Kehamilan,Pregnancy,dites,ditespek
E-00430,jawa,Hamil,Pregnant,ditokke,ngecrit
E-00431,jawa,Endometriosis,Endometriosis,durung rabi,prawan (P)
E-00432,jawa,Endometriosis,Endometriosis,ejakulasi,metu pejuh
E-00433,jawa,Menstruasi,Menstruation,em kapsul,pil pelancar men
E-00434,jawa,Menstruasi,Menstruation,fam,tumor
E-00435,jawa,Menstruasi,Menstruation,fam' e,tumore
E-00436,jawa,Menstruasi,Menstruation,flek getih hamil,flek meteng
E-00437,jawa,Menstruasi,Menstruation,flek getih hamile,flek meteng
E-00438,jawa,Kehamilan,Pregnancy,flek tanda meteng,flek meteng
E-00439,jawa,Kehamilan,Pregnancy,garis loro,meteng
E-00440,jawa,Endometriosis,Endometriosis,getih metu,pendarahan
E-00441,jawa,Menstruasi,Menstruation,getih tapi ora seger koyok rodok coklat mbek ora akeh,flek coklat
E-00442,jawa,Kehamilan,Pregnancy,hamil,meteng
E-00443,jawa,Menstruasi,Menstruation,hubungan rumah tangga,rabi
E-00444,jawa,Endometriosis,Endometriosis,implan,kb susuk
E-00445,jawa,Vagina,Vagina,infeksi saluran kemih,anyang-anyangen
E-00446,jawa,Kista Ovarium,Ovarian Cyst,ireng reng,ireng
E-00447,jawa,Kista Ovarium,Ovarian Cyst,irt,ibuk
E-00448,jawa,Kanker Serviks,Cervical Cancer,isk,anyang-anyangen
E-00449,jawa,Endometriosis,Endometriosis,iud,kb spiral
E-00450,jawa,Menstruasi,Menstruation,jalan keluare,solusine
E-00451,jawa,Kehamilan,Pregnancy,janin,jabang bayi
E-00452,jawa,Candidiasis,Candidiasis (Yeast Infection),jerawat,kukul
E-00453,jawa,Menstruasi,Menstruation,jerawate,kukule
E-00454,jawa,Menstruasi,Menstruation,jerawaten,kukulen
E-00455,jawa,Vagina,Vagina,jilbabku,kudungku
E-00456,jawa,Kanker Serviks,Cervical Cancer,jrendelan,jrendelan
E-00457,jawa,Kehamilan,Pregnancy,jrendelan getih,jrendelan getih
E-00458,jawa,Kehamilan Ektopik,Ectopic Pregnancy,kantong pipisku,kantong uyuh
E-00459,jawa,Endometriosis,Endometriosis,kebutuhan biologisku,kebutuhan sex
E-00460,jawa,Vagina,Vagina,kecelakaan montor,tabrakan
E-00461,jawa,Menstruasi,Menstruation,kedawan-dawan,ora rampung-rampung
E-00462,jawa,Kehamilan,Pregnancy,kehamilan,meteng
E-00463,jawa,Kehamilan,Pregnancy,kehamilane,metenge
E-00464,jawa,Aborsi,Abortion,keturunan,anak
E-00465,jawa,Menstruasi,Menstruation,klimak'e,ngecrit
E-00466,jawa,Menstruasi,Menstruation,klimaks,ngecrit
E-00467,jawa,Candidiasis,Candidiasis (Yeast Infection),klitoris,itil
E-00468,jawa,Endometriosis,Endometriosis,leucocytes,getih putih
E-00469,jawa,Kanker Serviks,Cervical Cancer,malam.pernikahan,midodareni
E-00470,jawa,Menstruasi,Menstruation,mammae'ne,susu
E-00471,jawa,Kehamilan,Pregnancy,manuk,kontol
E-00472,jawa,Kanker Payudara,Breast Cancer,mastitis,mbangkak'i
E-00473,jawa,Endometriosis,Endometriosis,masturbasi,ngeloco
E-00474,jawa,Candidiasis,Candidiasis (Yeast Infection),metu,ngecrit
E-00475,jawa,Endometriosis,Endometriosis,metu getih,pendarahan
E-00476,jawa,Kehamilan Ektopik,Ectopic Pregnancy,metu getih sitik,flek
E-00477,jawa,Endometriosis,Endometriosis,metu getihe,pendarahane
E-00478,jawa,Kanker Serviks,Cervical Cancer,metu getihe sitik,flek
E-00479,jawa,Menstruasi,Menstruation,metuh getih,pendarahan
E-00480,jawa,Kanker Payudara,Breast Cancer,mlebu,kenthu
E-00481,jawa,Endometriosis,Endometriosis,momongan,anak
E-00482,jawa,Menstruasi,Menstruation,morning pill,kondar
E-00483,jawa,Kehamilan,Pregnancy,nangis wae,gembeng
E-00484,jawa,Candidiasis,Candidiasis (Yeast Infection),ngetokke,ngecrit
E-00485,jawa,Kehamilan,Pregnancy,ngetokke sperma,ngecrit
E-00486,jawa,Menstruasi,Menstruation,nggugurke anak,aborsi
E-00487,jawa,Menstruasi,Menstruation,ngugurke kandungan,aborsi
E-00488,jawa,Menstruasi,Menstruation,ninggal,mati
E-00489,jawa,Menstruasi,Menstruation,ninggal ning njero kandungan,keguguran
E-00490,jawa,Menstruasi,Menstruation,noda coklat,flek coklat
E-00491,jawa,Kista Ovarium,Ovarian Cyst,omah omah,rabi
E-00492,jawa,Menstruasi,Menstruation,operasi varikokel,oprasi tedun
E-00493,jawa,Menstruasi,Menstruation,ora kempes,njembling
E-00494,jawa,Kehamilan,Pregnancy,oral sex,nyepong
E-00495,jawa,Endometriosis,Endometriosis,orgasme,ngecrit
E-00496,jawa,Endometriosis,Endometriosis,ovulasi,masa subur
E-00497,jawa,Menstruasi,Menstruation,pasutri,bebojoan
E-00498,jawa,Menstruasi,Menstruation,pembalut,softek
E-00499,jawa,Menstruasi,Menstruation,pembantu,babu
E-00500,jawa,Kehamilan,Pregnancy,pendarahan sing sitik,flek
E-00501,jawa,Kehamilan,Pregnancy,pendarahan sitik banget,flek
E-00502,jawa,Amenorrhea,Amenorrhea,pengaman,kondom
E-00503,jawa,Menstruasi,Menstruation,pengen mangan panganan sing pedes,nyidam
E-00504,jawa,Menstruasi,Menstruation,pengen mangan tertentu,nyidam
E-00505,jawa,Hormon,Hormones / Hormonal Disorders,pernikahan,rabi
E-00506,jawa,Kehamilan,Pregnancy,petting,grepe
E-00507,jawa,Menstruasi,Menstruation,pil tuntas,pil pelancar men
E-00508,jawa,Menstruasi,Menstruation,program suntik kb,suntik kb
E-00509,jawa,Kehamilan,Pregnancy,promol,promil
E-00510,jawa,Menstruasi,Menstruation,rambut-rambut alus,jembut
E-00511,jawa,Menstruasi,Menstruation,rodok berisi,lemu
E-00512,jawa,Endometriosis,Endometriosis,rodok coklat,semu coklat
E-00513,jawa,Menstruasi,Menstruation,salah pergaulan,salah gaul
E-00514,jawa,Kanker Serviks,Cervical Cancer,selaput dara,keprawanan
E-00515,jawa,Vaginitis,Vaginitis,semi sek,grepe
E-00516,jawa,Candidiasis,Candidiasis (Yeast Infection),sempuk,sempuk
E-00517,jawa,Kehamilan,Pregnancy,sensitif,cilik ati
E-00518,jawa,Endometriosis,Endometriosis,servik,servik
E-00519,jawa,Menstruasi,Menstruation,sex bebas,kumpul kebo
E-00520,jawa,Menstruasi,Menstruation,sing kedawan dawan,ora rampung-rampung
E-00521,jawa,Menstruasi,Menstruation,skizofrenia paranoid,edan
E-00522,jawa,Endometriosis,Endometriosis,sowan,tilik
E-00523,jawa,Menstruasi,Menstruation,sperma,pejuh
E-00524,jawa,Hamil,Pregnant,spermane,pejuhe
E-00525,jawa,Vaginitis,Vaginitis,spiral,spiral
E-00526,jawa,Menstruasi,Menstruation,tanda awal meteng,lekasan
E-00527,jawa,Kehamilan,Pregnancy,tes hamil,tespek
E-00528,jawa,Kehamilan,Pregnancy,tes kehamilan,tespek
E-00529,jawa,Kehamilan,Pregnancy,tes urin,tespek
E-00530,jawa,Menstruasi,Menstruation,wes ngenthu ping piro wae,sering kenthu
E-00531,jawa,Menstruasi,Menstruation,wulu wulu alus,jembut
E-00532,minang,Amenorrhea,Amenorrhea,bahubungan,bahubungan badan
E-00533,minang,Kista Ovarium,Ovarian Cyst,bahubungan bada,bahubungan badan
E-00534,minang,Menstruasi,Menstruation,bahubungan intim,bahubungan badan
E-00535,minang,Endometriosis,Endometriosis,bahubungan seks,bahubungan badan
E-00536,minang,Endometriosis,Endometriosis,bahubungan seksual,bahubungan badan
E-00537,minang,Vagina,Vagina,buruang,penis
E-00538,minang,Kehamilan,Pregnancy,buruangnyo,penisnyo
E-00539,minang,Infeksi Payudara,Breast Infection,dapek,men
E-00540,minang,Endometriosis,Endometriosis,datang bulan,men
E-00541,minang,Menstruasi,Menstruation,emn,men
E-00542,minang,Endometriosis,Endometriosis,haid,men
E-00543,minang,Kista Ovarium,Ovarian Cyst,hubungan,bahubungan badan
E-00544,minang,Kehamilan,Pregnancy,hubungan badan,bahubungan badan
E-00545,minang,Menstruasi,Menstruation,iud,KB
E-00546,minang,Kehamilan,Pregnancy,kalahian,malahian
E-00547,minang,Endometriosis,Endometriosis,kb implan,KB
E-00548,minang,Endometriosis,Endometriosis,kb suntik,KB
E-00549,minang,Vagina,Vagina,labia mayora,pepek
E-00550,minang,Kehamilan,Pregnancy,lubang lanciri,lancirik
E-00551,minang,Kanker Serviks,Cervical Cancer,malakuan hubungan,bahubungan badan
E-00552,minang,Menstruasi,Menstruation,managnduang,manganduang
E-00553,minang,Menstruasi,Menstruation,mangandiang,manganduang
E-00554,minang,Hormon,Hormones / Hormonal Disorders,manganduak,manganduang
E-00555,minang,Abortus Imminens,Threatened Abortion,manganduang,manganduang
E-00556,minang,Aborsi,Abortion,mangguguran,mangguguran
E-00557,minang,Menstruasi,Menstruation,mangguguran kadungan,mangguguran kanduangan
E-00558,minang,Aborsi,Abortion,mangguguran kandungan,mangguguran kanduangan
E-00559,minang,Amenorrhea,Amenorrhea,manyusui,manyusui
E-00560,minang,Kista Ovarium,Ovarian Cyst,me,men
E-00561,minang,Menstruasi,Menstruation,mnganduang,manganduang
E-00562,minang,Menstruasi,Menstruation,panaba dindiang rahim,panabaan dindiang rahim
E-00563,minang,Menstruasi,Menstruation,paruik malilik,sakik paruik
E-00564,minang,Endometriosis,Endometriosis,pee,pipis
E-00565,minang,Kehamilan,Pregnancy,pembukaan,pambukaan
E-00566,minang,Endometriosis,Endometriosis,pendarahan,pandarahan
E-00567,minang,Kehamilan,Pregnancy,petting,grepe-grepe
E-00568,minang,Endometriosis,Endometriosis,putiang,putiang
E-00569,minang,Endometriosis,Endometriosis,suntik kb,KB
E-00570,minang,Menstruasi,Menstruation,susunyo,susu inyo
E-00571,sunda,Endometriosis,Endometriosis,abege,rumaja
E-00572,sunda,Menstruasi,Menstruation,anyang anyangan,jeungjeuriheun
E-00573,sunda,Kehamilan,Pregnancy,aya orok dina beuteung,reuneuh
E-00574,sunda,Endometriosis,Endometriosis,bobogohan,bobogohan
E-00575,sunda,Kehamilan,Pregnancy,cacar,plek
E-00576,sunda,Vaginitis,Vaginitis,cacar beureum,getihan
E-00577,sunda,Menstruasi,Menstruation,cacar cacar coklat,plek coklat
E-00578,sunda,Hormon,Hormones / Hormonal Disorders,cacar coklat,plek coklat
E-00579,sunda,Endometriosis,Endometriosis,cacar getih,plek getih
E-00580,sunda,Kehamilan,Pregnancy,cacar warna coklat,plek warna coklat
E-00581,sunda,Kanker Serviks,Cervical Cancer,cai bodas,kaputihan
E-00582,sunda,Kista Ovarium,Ovarian Cyst,cai kiih,ci kiih
E-00583,sunda,Kista Ovarium,Ovarian Cyst,cikiih,ci kiih
E-00584,sunda,Kista Ovarium,Ovarian Cyst,foto beuteung,rongsen
E-00585,sunda,Kista Ovarium,Ovarian Cyst,foto dada,rongsen
E-00586,sunda,Vagina,Vagina,heunceut,memek
E-00587,sunda,Ibu Hamil,Pregnant Mother,hileudeun,hileudeun
E-00588,sunda,Endometriosis,Endometriosis,kaluron,kaluron
E-00589,sunda,Vaginitis,Vaginitis,kikiituan,ewean
E-00590,sunda,Endometriosis,Endometriosis,kikituan,ewean
E-00591,sunda,Endometriosis,Endometriosis,kista,kista
E-00592,sunda,Endometriosis,Endometriosis,mangsa,siklus
E-00593,sunda,Kanker Serviks,Cervical Cancer,mukus,leuleueur
E-00594,sunda,Kanker Serviks,Cervical Cancer,mukusna,leuleueurna
E-00595,sunda,Menstruasi,Menstruation,ngalakukeun eta,ewean
E-00596,sunda,Kanker Payudara,Breast Cancer,oentil susu,pentil susu
E-00597,sunda,Kanker Serviks,Cervical Cancer,pasmir,papsmir
E-00598,sunda,Kanker Serviks,Cervical Cancer,pirus hiv,aids
E-00599,sunda,Endometriosis,Endometriosis,plek,plek
